{'loss': 2.3253, 'grad_norm': 0.21877968311309814, 'learning_rate': 1.41643059490085e-06, 'mean_token_accuracy': 0.5390011395531479, 'epoch': 0.0}
{'loss': 1.9776, 'grad_norm': 0.5059083104133606, 'learning_rate': 3.68271954674221e-05, 'mean_token_accuracy': 0.5633920011056902, 'epoch': 0.09}
{'loss': 2.3167, 'grad_norm': 0.4689256250858307, 'learning_rate': 3.824362606232295e-05, 'mean_token_accuracy': 0.5099015127658055, 'epoch': 0.09}
{'loss': 2.2225, 'grad_norm': 0.48090699315071106, 'learning_rate': 3.96600566572238e-05, 'mean_token_accuracy': 0.5220997708571254, 'epoch': 0.1}
{'loss': 2.2777, 'grad_norm': 0.5072324872016907, 'learning_rate': 4.1076487252124646e-05, 'mean_token_accuracy': 0.515759742647587, 'epoch': 0.1}
{'loss': 2.1115, 'grad_norm': 0.8809776902198792, 'learning_rate': 4.24929178470255e-05, 'mean_token_accuracy': 0.5441719594005529, 'epoch': 0.1}
{'loss': 1.9998, 'grad_norm': 0.45783430337905884, 'learning_rate': 4.390934844192634e-05, 'mean_token_accuracy': 0.5594983564472806, 'epoch': 0.11}
{'loss': 2.2655, 'grad_norm': 0.5026437044143677, 'learning_rate': 4.53257790368272e-05, 'mean_token_accuracy': 0.5197402332345563, 'epoch': 0.11}
{'loss': 2.2132, 'grad_norm': 0.5071364045143127, 'learning_rate': 4.674220963172805e-05, 'mean_token_accuracy': 0.5267366910462136, 'epoch': 0.11}
{'loss': 2.1639, 'grad_norm': 0.651369035243988, 'learning_rate': 4.8158640226628896e-05, 'mean_token_accuracy': 0.5339892125966719, 'epoch': 0.12}
{'loss': 2.2036, 'grad_norm': 0.9680946469306946, 'learning_rate': 4.9575070821529744e-05, 'mean_token_accuracy': 0.5265684502615652, 'epoch': 0.12}
{'loss': 2.0009, 'grad_norm': 0.5032818913459778, 'learning_rate': 5.09915014164306e-05, 'mean_token_accuracy': 0.5581334007330091, 'epoch': 0.12}
{'loss': 2.2201, 'grad_norm': 0.5569933652877808, 'learning_rate': 5.240793201133145e-05, 'mean_token_accuracy': 0.5194328072895149, 'epoch': 0.13}
{'loss': 2.2455, 'grad_norm': 0.6090813875198364, 'learning_rate': 5.382436260623229e-05, 'mean_token_accuracy': 0.5204141428580396, 'epoch': 0.13}
{'loss': 2.1341, 'grad_norm': 0.6552389860153198, 'learning_rate': 5.5240793201133146e-05, 'mean_token_accuracy': 0.5374513374078888, 'epoch': 0.13}
{'loss': 2.0985, 'grad_norm': 0.9326625466346741, 'learning_rate': 5.6657223796034e-05, 'mean_token_accuracy': 0.5422477838579036, 'epoch': 0.14}
{'loss': 1.9801, 'grad_norm': 0.6812483072280884, 'learning_rate': 5.807365439093485e-05, 'mean_token_accuracy': 0.5644490679421459, 'epoch': 0.14}
{'loss': 2.198, 'grad_norm': 0.6160896420478821, 'learning_rate': 5.949008498583569e-05, 'mean_token_accuracy': 0.5238396987288201, 'epoch': 0.14}
{'loss': 2.2361, 'grad_norm': 0.6219518780708313, 'learning_rate': 6.090651558073655e-05, 'mean_token_accuracy': 0.5240438412514913, 'epoch': 0.15}
{'loss': 2.1155, 'grad_norm': 0.6724250912666321, 'learning_rate': 6.23229461756374e-05, 'mean_token_accuracy': 0.5397248977904046, 'epoch': 0.15}
{'loss': 2.0804, 'grad_norm': 0.8345759510993958, 'learning_rate': 6.373937677053825e-05, 'mean_token_accuracy': 0.5411514259966194, 'epoch': 0.15}
{'loss': 1.9691, 'grad_norm': 0.5248895883560181, 'learning_rate': 6.51558073654391e-05, 'mean_token_accuracy': 0.5654117241484974, 'epoch': 0.16}
{'loss': 2.1516, 'grad_norm': 0.5829010605812073, 'learning_rate': 6.657223796033995e-05, 'mean_token_accuracy': 0.5372063320739643, 'epoch': 0.16}
{'loss': 2.1596, 'grad_norm': 0.6306852102279663, 'learning_rate': 6.79886685552408e-05, 'mean_token_accuracy': 0.5330966693313173, 'epoch': 0.16}
{'loss': 2.2009, 'grad_norm': 0.7059702277183533, 'learning_rate': 6.940509915014165e-05, 'mean_token_accuracy': 0.5279486801652985, 'epoch': 0.17}
{'loss': 2.0718, 'grad_norm': 0.9968090057373047, 'learning_rate': 7.082152974504249e-05, 'mean_token_accuracy': 0.5494808662910915, 'epoch': 0.17}
{'loss': 1.871, 'grad_norm': 0.6428568959236145, 'learning_rate': 7.223796033994334e-05, 'mean_token_accuracy': 0.5792195407696054, 'epoch': 0.17}
{'loss': 2.2151, 'grad_norm': 0.5958402156829834, 'learning_rate': 7.36543909348442e-05, 'mean_token_accuracy': 0.5269708087011735, 'epoch': 0.18}
{'loss': 2.1145, 'grad_norm': 0.6291775107383728, 'learning_rate': 7.507082152974505e-05, 'mean_token_accuracy': 0.5343264689895595, 'epoch': 0.18}
{'loss': 2.0152, 'grad_norm': 0.7363294363021851, 'learning_rate': 7.64872521246459e-05, 'mean_token_accuracy': 0.5523928612752638, 'epoch': 0.18}
{'loss': 1.9939, 'grad_norm': 1.0441697835922241, 'learning_rate': 7.790368271954674e-05, 'mean_token_accuracy': 0.555289897995163, 'epoch': 0.19}
{'loss': 1.9067, 'grad_norm': 0.5224066972732544, 'learning_rate': 7.93201133144476e-05, 'mean_token_accuracy': 0.5714912574276438, 'epoch': 0.19}
{'loss': 2.2169, 'grad_norm': 0.6214680075645447, 'learning_rate': 8.073654390934845e-05, 'mean_token_accuracy': 0.5244902601585122, 'epoch': 0.19}
{'loss': 2.1586, 'grad_norm': 0.6693279147148132, 'learning_rate': 8.215297450424929e-05, 'mean_token_accuracy': 0.5317586742067826, 'epoch': 0.2}
{'loss': 2.0581, 'grad_norm': 0.7042514681816101, 'learning_rate': 8.356940509915015e-05, 'mean_token_accuracy': 0.5472452394052592, 'epoch': 0.2}
{'loss': 2.0123, 'grad_norm': 0.9017589092254639, 'learning_rate': 8.4985835694051e-05, 'mean_token_accuracy': 0.5583733401573701, 'epoch': 0.2}
{'loss': 1.9151, 'grad_norm': 0.6026352047920227, 'learning_rate': 8.640226628895184e-05, 'mean_token_accuracy': 0.571794201523313, 'epoch': 0.21}
{'loss': 2.2408, 'grad_norm': 0.6604679822921753, 'learning_rate': 8.781869688385269e-05, 'mean_token_accuracy': 0.5170689625040755, 'epoch': 0.21}
{'loss': 2.1536, 'grad_norm': 0.6377348303794861, 'learning_rate': 8.923512747875354e-05, 'mean_token_accuracy': 0.5310173833219076, 'epoch': 0.21}
{'loss': 2.1755, 'grad_norm': 0.7009330987930298, 'learning_rate': 9.06515580736544e-05, 'mean_token_accuracy': 0.5313837030946, 'epoch': 0.22}
{'loss': 2.0594, 'grad_norm': 0.8074933290481567, 'learning_rate': 9.206798866855525e-05, 'mean_token_accuracy': 0.5424269324355182, 'epoch': 0.22}
{'loss': 1.8947, 'grad_norm': 0.5864104628562927, 'learning_rate': 9.34844192634561e-05, 'mean_token_accuracy': 0.5726880819967508, 'epoch': 0.22}
{'loss': 2.1303, 'grad_norm': 0.7383431792259216, 'learning_rate': 9.490084985835695e-05, 'mean_token_accuracy': 0.535153017504471, 'epoch': 0.23}
{'loss': 2.1156, 'grad_norm': 0.6804577708244324, 'learning_rate': 9.631728045325779e-05, 'mean_token_accuracy': 0.5370486749518657, 'epoch': 0.23}
{'loss': 2.123, 'grad_norm': 0.7586625218391418, 'learning_rate': 9.773371104815865e-05, 'mean_token_accuracy': 0.5387551572027127, 'epoch': 0.23}
{'loss': 2.1371, 'grad_norm': 0.9386862516403198, 'learning_rate': 9.915014164305949e-05, 'mean_token_accuracy': 0.5369225740214933, 'epoch': 0.24}
{'loss': 1.8702, 'grad_norm': 0.5673438906669617, 'learning_rate': 9.998247305231795e-05, 'mean_token_accuracy': 0.5782542265142877, 'epoch': 0.24}
{'loss': 2.1283, 'grad_norm': 0.6250577569007874, 'learning_rate': 9.993865568311279e-05, 'mean_token_accuracy': 0.5371511158155001, 'epoch': 0.24}
{'loss': 2.1828, 'grad_norm': 0.6452192068099976, 'learning_rate': 9.989483831390763e-05, 'mean_token_accuracy': 0.5288023252674046, 'epoch': 0.25}
{'loss': 2.1072, 'grad_norm': 0.7351161241531372, 'learning_rate': 9.985102094470249e-05, 'mean_token_accuracy': 0.539302419084848, 'epoch': 0.25}
{'loss': 2.0864, 'grad_norm': 1.013777732849121, 'learning_rate': 9.980720357549734e-05, 'mean_token_accuracy': 0.5457893397063738, 'epoch': 0.25}
{'loss': 1.9524, 'grad_norm': 0.568456768989563, 'learning_rate': 9.976338620629218e-05, 'mean_token_accuracy': 0.5655505002111086, 'epoch': 0.26}
{'loss': 2.1061, 'grad_norm': 0.6346854567527771, 'learning_rate': 9.971956883708702e-05, 'mean_token_accuracy': 0.5433853027561314, 'epoch': 0.26}
{'loss': 2.0499, 'grad_norm': 0.6418799757957458, 'learning_rate': 9.967575146788187e-05, 'mean_token_accuracy': 0.5487162381686056, 'epoch': 0.27}
{'loss': 2.2025, 'grad_norm': 0.7737718820571899, 'learning_rate': 9.963193409867671e-05, 'mean_token_accuracy': 0.5252132806426236, 'epoch': 0.27}
{'loss': 1.9856, 'grad_norm': 0.9168605804443359, 'learning_rate': 9.958811672947157e-05, 'mean_token_accuracy': 0.5643978845691182, 'epoch': 0.27}
{'loss': 1.8157, 'grad_norm': 0.5675610303878784, 'learning_rate': 9.954429936026641e-05, 'mean_token_accuracy': 0.5914404373208089, 'epoch': 0.28}
{'loss': 2.1269, 'grad_norm': 0.6200523376464844, 'learning_rate': 9.950048199106126e-05, 'mean_token_accuracy': 0.5387421321107351, 'epoch': 0.28}
{'loss': 2.1553, 'grad_norm': 0.6506843566894531, 'learning_rate': 9.945666462185612e-05, 'mean_token_accuracy': 0.5296289722948316, 'epoch': 0.28}
{'loss': 2.0874, 'grad_norm': 0.7640798091888428, 'learning_rate': 9.941284725265095e-05, 'mean_token_accuracy': 0.5438853531663058, 'epoch': 0.29}
{'loss': 2.1293, 'grad_norm': 0.9113968014717102, 'learning_rate': 9.93690298834458e-05, 'mean_token_accuracy': 0.5396407369353653, 'epoch': 0.29}
{'loss': 1.9095, 'grad_norm': 0.5527687668800354, 'learning_rate': 9.932521251424065e-05, 'mean_token_accuracy': 0.5707453454357607, 'epoch': 0.29}
{'loss': 2.2069, 'grad_norm': 0.6434100270271301, 'learning_rate': 9.92813951450355e-05, 'mean_token_accuracy': 0.526566180318671, 'epoch': 0.3}
{'loss': 2.1658, 'grad_norm': 0.7125468254089355, 'learning_rate': 9.923757777583035e-05, 'mean_token_accuracy': 0.527452669554103, 'epoch': 0.3}
{'loss': 2.0909, 'grad_norm': 0.6400526762008667, 'learning_rate': 9.91937604066252e-05, 'mean_token_accuracy': 0.543559873938354, 'epoch': 0.3}
{'loss': 1.9759, 'grad_norm': 0.889627993106842, 'learning_rate': 9.914994303742004e-05, 'mean_token_accuracy': 0.5597074051623427, 'epoch': 0.31}
{'loss': 1.92, 'grad_norm': 0.6175903677940369, 'learning_rate': 9.910612566821488e-05, 'mean_token_accuracy': 0.568308710964064, 'epoch': 0.31}
{'loss': 2.1562, 'grad_norm': 0.6759715676307678, 'learning_rate': 9.906230829900973e-05, 'mean_token_accuracy': 0.5268567990336716, 'epoch': 0.31}
{'loss': 2.0977, 'grad_norm': 0.6756265163421631, 'learning_rate': 9.901849092980457e-05, 'mean_token_accuracy': 0.5365216073671369, 'epoch': 0.32}
{'loss': 2.1105, 'grad_norm': 0.7051867246627808, 'learning_rate': 9.897467356059943e-05, 'mean_token_accuracy': 0.5410544579886818, 'epoch': 0.32}
{'loss': 2.0591, 'grad_norm': 0.9776212573051453, 'learning_rate': 9.893085619139428e-05, 'mean_token_accuracy': 0.548507079173536, 'epoch': 0.32}
{'loss': 1.923, 'grad_norm': 0.5496479868888855, 'learning_rate': 9.888703882218912e-05, 'mean_token_accuracy': 0.5694974991167274, 'epoch': 0.33}
{'loss': 2.1168, 'grad_norm': 0.600321352481842, 'learning_rate': 9.884322145298396e-05, 'mean_token_accuracy': 0.5392061647806863, 'epoch': 0.33}
{'loss': 2.1271, 'grad_norm': 0.7006906270980835, 'learning_rate': 9.879940408377881e-05, 'mean_token_accuracy': 0.5348426465403693, 'epoch': 0.33}
{'loss': 2.1393, 'grad_norm': 0.6747776865959167, 'learning_rate': 9.875558671457367e-05, 'mean_token_accuracy': 0.5325364184847299, 'epoch': 0.34}
{'loss': 1.8982, 'grad_norm': 0.9408119320869446, 'learning_rate': 9.871176934536851e-05, 'mean_token_accuracy': 0.5706458681761928, 'epoch': 0.34}
{'loss': 1.9657, 'grad_norm': 0.6196168065071106, 'learning_rate': 9.866795197616335e-05, 'mean_token_accuracy': 0.5633846430120738, 'epoch': 0.34}
{'loss': 2.0854, 'grad_norm': 0.6393613219261169, 'learning_rate': 9.862413460695821e-05, 'mean_token_accuracy': 0.5367161728467396, 'epoch': 0.35}
{'loss': 2.1767, 'grad_norm': 0.7223364114761353, 'learning_rate': 9.858031723775306e-05, 'mean_token_accuracy': 0.5274851564628527, 'epoch': 0.35}
{'loss': 2.1084, 'grad_norm': 0.7296848297119141, 'learning_rate': 9.853649986854789e-05, 'mean_token_accuracy': 0.5396731827009176, 'epoch': 0.35}
{'loss': 2.0144, 'grad_norm': 0.8648853898048401, 'learning_rate': 9.849268249934275e-05, 'mean_token_accuracy': 0.556887607164892, 'epoch': 0.36}
{'loss': 1.8523, 'grad_norm': 0.6091442704200745, 'learning_rate': 9.844886513013759e-05, 'mean_token_accuracy': 0.5774086108797979, 'epoch': 0.36}
{'loss': 2.1224, 'grad_norm': 0.622363269329071, 'learning_rate': 9.840504776093243e-05, 'mean_token_accuracy': 0.5365621484828417, 'epoch': 0.36}
{'loss': 2.151, 'grad_norm': 0.6854912042617798, 'learning_rate': 9.836123039172729e-05, 'mean_token_accuracy': 0.5268905571423435, 'epoch': 0.37}
{'loss': 2.1854, 'grad_norm': 0.7409539818763733, 'learning_rate': 9.831741302252214e-05, 'mean_token_accuracy': 0.5291450144874348, 'epoch': 0.37}
{'loss': 1.8823, 'grad_norm': 0.9011431336402893, 'learning_rate': 9.827359565331698e-05, 'mean_token_accuracy': 0.5742466007299556, 'epoch': 0.37}
{'loss': 1.8502, 'grad_norm': 0.5486352443695068, 'learning_rate': 9.822977828411182e-05, 'mean_token_accuracy': 0.5836259108347746, 'epoch': 0.38}
{'loss': 2.0474, 'grad_norm': 0.6092129349708557, 'learning_rate': 9.818596091490667e-05, 'mean_token_accuracy': 0.5485687634614457, 'epoch': 0.38}
{'loss': 2.1419, 'grad_norm': 0.6590070724487305, 'learning_rate': 9.814214354570153e-05, 'mean_token_accuracy': 0.5326085510689914, 'epoch': 0.38}
{'loss': 2.038, 'grad_norm': 0.7671523094177246, 'learning_rate': 9.809832617649637e-05, 'mean_token_accuracy': 0.5507824758420533, 'epoch': 0.39}
{'loss': 2.0683, 'grad_norm': 0.9599843621253967, 'learning_rate': 9.805450880729121e-05, 'mean_token_accuracy': 0.5486259396991711, 'epoch': 0.39}
{'loss': 1.8611, 'grad_norm': 0.6302227973937988, 'learning_rate': 9.801069143808607e-05, 'mean_token_accuracy': 0.582174302715718, 'epoch': 0.39}
{'loss': 2.1242, 'grad_norm': 0.729336678981781, 'learning_rate': 9.79668740688809e-05, 'mean_token_accuracy': 0.536359203022185, 'epoch': 0.4}
{'loss': 2.0914, 'grad_norm': 0.6951828598976135, 'learning_rate': 9.792305669967575e-05, 'mean_token_accuracy': 0.5402002026363288, 'epoch': 0.4}
{'loss': 2.0589, 'grad_norm': 0.6993022561073303, 'learning_rate': 9.78792393304706e-05, 'mean_token_accuracy': 0.5443632336414608, 'epoch': 0.4}
{'loss': 1.9288, 'grad_norm': 0.9132675528526306, 'learning_rate': 9.783542196126545e-05, 'mean_token_accuracy': 0.568077274520487, 'epoch': 0.41}
{'loss': 1.6972, 'grad_norm': 0.5984729528427124, 'learning_rate': 9.77916045920603e-05, 'mean_token_accuracy': 0.6092409188547081, 'epoch': 0.41}
{'loss': 2.0987, 'grad_norm': 0.6491515040397644, 'learning_rate': 9.774778722285515e-05, 'mean_token_accuracy': 0.5399223783555966, 'epoch': 0.41}
{'loss': 2.1462, 'grad_norm': 0.7333760261535645, 'learning_rate': 9.770396985365e-05, 'mean_token_accuracy': 0.5301553066194293, 'epoch': 0.42}
{'loss': 2.1059, 'grad_norm': 0.7168157696723938, 'learning_rate': 9.766015248444484e-05, 'mean_token_accuracy': 0.5399252334174787, 'epoch': 0.42}
{'loss': 2.0211, 'grad_norm': 0.9283762574195862, 'learning_rate': 9.761633511523968e-05, 'mean_token_accuracy': 0.5497991361881126, 'epoch': 0.42}
{'loss': 1.846, 'grad_norm': 0.5745306611061096, 'learning_rate': 9.757251774603453e-05, 'mean_token_accuracy': 0.5823080487998906, 'epoch': 0.43}
{'loss': 2.055, 'grad_norm': 0.6733759045600891, 'learning_rate': 9.752870037682939e-05, 'mean_token_accuracy': 0.5499235461510172, 'epoch': 0.43}
{'loss': 2.1242, 'grad_norm': 0.6598737835884094, 'learning_rate': 9.748488300762423e-05, 'mean_token_accuracy': 0.5371868692144257, 'epoch': 0.44}
{'loss': 2.1045, 'grad_norm': 0.7459524273872375, 'learning_rate': 9.744106563841908e-05, 'mean_token_accuracy': 0.5390930281814816, 'epoch': 0.44}
{'loss': 2.0159, 'grad_norm': 0.8388041853904724, 'learning_rate': 9.739724826921392e-05, 'mean_token_accuracy': 0.5541146902269429, 'epoch': 0.44}
{'loss': 1.8116, 'grad_norm': 0.5691409707069397, 'learning_rate': 9.735343090000876e-05, 'mean_token_accuracy': 0.587474640300154, 'epoch': 0.45}
{'loss': 2.0321, 'grad_norm': 0.5777953267097473, 'learning_rate': 9.730961353080361e-05, 'mean_token_accuracy': 0.5491121379224592, 'epoch': 0.45}
{'loss': 2.182, 'grad_norm': 0.6794628500938416, 'learning_rate': 9.726579616159847e-05, 'mean_token_accuracy': 0.5247000216097608, 'epoch': 0.45}
{'loss': 2.0824, 'grad_norm': 0.8237075209617615, 'learning_rate': 9.722197879239331e-05, 'mean_token_accuracy': 0.5470743218783161, 'epoch': 0.46}
{'loss': 1.9524, 'grad_norm': 0.9270840883255005, 'learning_rate': 9.717816142318815e-05, 'mean_token_accuracy': 0.5639447363821104, 'epoch': 0.46}
{'loss': 1.8017, 'grad_norm': 0.5765090584754944, 'learning_rate': 9.713434405398301e-05, 'mean_token_accuracy': 0.5919898484881377, 'epoch': 0.46}
{'loss': 2.162, 'grad_norm': 0.6642981767654419, 'learning_rate': 9.709052668477784e-05, 'mean_token_accuracy': 0.5327055536823968, 'epoch': 0.47}
{'loss': 2.1301, 'grad_norm': 0.6480069160461426, 'learning_rate': 9.704670931557269e-05, 'mean_token_accuracy': 0.5374569855849038, 'epoch': 0.47}
{'loss': 2.078, 'grad_norm': 0.7171879410743713, 'learning_rate': 9.700289194636754e-05, 'mean_token_accuracy': 0.5441198618610481, 'epoch': 0.47}
{'loss': 2.0141, 'grad_norm': 0.9679726362228394, 'learning_rate': 9.695907457716239e-05, 'mean_token_accuracy': 0.5512736452943707, 'epoch': 0.48}
{'loss': 1.8203, 'grad_norm': 0.6045377254486084, 'learning_rate': 9.691525720795725e-05, 'mean_token_accuracy': 0.5866635596899411, 'epoch': 0.48}
{'loss': 2.099, 'grad_norm': 0.6298410892486572, 'learning_rate': 9.687143983875209e-05, 'mean_token_accuracy': 0.536576264065719, 'epoch': 0.48}
{'loss': 2.1278, 'grad_norm': 0.7042169570922852, 'learning_rate': 9.682762246954694e-05, 'mean_token_accuracy': 0.5333169279132226, 'epoch': 0.49}
{'loss': 2.0848, 'grad_norm': 0.7609305381774902, 'learning_rate': 9.678380510034178e-05, 'mean_token_accuracy': 0.5440726905055692, 'epoch': 0.49}
{'loss': 2.0428, 'grad_norm': 0.9492381811141968, 'learning_rate': 9.673998773113662e-05, 'mean_token_accuracy': 0.5495556995075888, 'epoch': 0.49}
{'loss': 1.8645, 'grad_norm': 0.5979067087173462, 'learning_rate': 9.669617036193147e-05, 'mean_token_accuracy': 0.5851198276708331, 'epoch': 0.5}
{'loss': 2.0208, 'grad_norm': 0.6789606809616089, 'learning_rate': 9.665235299272633e-05, 'mean_token_accuracy': 0.5502764905701479, 'epoch': 0.5}
{'loss': 2.0779, 'grad_norm': 0.6774358153343201, 'learning_rate': 9.660853562352117e-05, 'mean_token_accuracy': 0.546818268591772, 'epoch': 0.5}
{'loss': 2.1296, 'grad_norm': 0.7645283937454224, 'learning_rate': 9.656471825431601e-05, 'mean_token_accuracy': 0.5372344371330361, 'epoch': 0.51}
{'loss': 2.0427, 'grad_norm': 0.9004055261611938, 'learning_rate': 9.652090088511086e-05, 'mean_token_accuracy': 0.5481354322002788, 'epoch': 0.51}
{'loss': 1.8791, 'grad_norm': 0.5895364284515381, 'learning_rate': 9.64770835159057e-05, 'mean_token_accuracy': 0.5737236157531627, 'epoch': 0.51}
{'loss': 2.1495, 'grad_norm': 0.6560646891593933, 'learning_rate': 9.643326614670055e-05, 'mean_token_accuracy': 0.5340249372430718, 'epoch': 0.52}
{'loss': 2.1001, 'grad_norm': 0.7169766426086426, 'learning_rate': 9.63894487774954e-05, 'mean_token_accuracy': 0.5398465607193852, 'epoch': 0.52}
{'loss': 2.039, 'grad_norm': 0.7820829749107361, 'learning_rate': 9.634563140829025e-05, 'mean_token_accuracy': 0.549146858159077, 'epoch': 0.52}
{'loss': 1.973, 'grad_norm': 0.9337460994720459, 'learning_rate': 9.630181403908511e-05, 'mean_token_accuracy': 0.5605499489379453, 'epoch': 0.53}
{'loss': 1.8609, 'grad_norm': 0.6217120885848999, 'learning_rate': 9.625799666987995e-05, 'mean_token_accuracy': 0.5794815050055814, 'epoch': 0.53}
{'loss': 2.0478, 'grad_norm': 0.6027032136917114, 'learning_rate': 9.62141793006748e-05, 'mean_token_accuracy': 0.5462455845800304, 'epoch': 0.53}
{'loss': 2.0826, 'grad_norm': 0.7292241454124451, 'learning_rate': 9.617036193146964e-05, 'mean_token_accuracy': 0.5395737639524828, 'epoch': 0.54}
{'loss': 2.0248, 'grad_norm': 0.7407697439193726, 'learning_rate': 9.612654456226448e-05, 'mean_token_accuracy': 0.5512035073135134, 'epoch': 0.54}
{'loss': 2.0161, 'grad_norm': 0.9315987229347229, 'learning_rate': 9.608272719305933e-05, 'mean_token_accuracy': 0.5524078398335324, 'epoch': 0.54}
{'loss': 1.8179, 'grad_norm': 0.5970126390457153, 'learning_rate': 9.603890982385419e-05, 'mean_token_accuracy': 0.5821215604173439, 'epoch': 0.55}
{'loss': 2.1233, 'grad_norm': 0.6336725950241089, 'learning_rate': 9.599509245464903e-05, 'mean_token_accuracy': 0.5337956553468528, 'epoch': 0.55}
{'loss': 2.1162, 'grad_norm': 0.7835493087768555, 'learning_rate': 9.595127508544387e-05, 'mean_token_accuracy': 0.5379637155748191, 'epoch': 0.55}
{'loss': 2.0721, 'grad_norm': 0.7613382339477539, 'learning_rate': 9.590745771623872e-05, 'mean_token_accuracy': 0.5481604559574831, 'epoch': 0.56}
{'loss': 2.015, 'grad_norm': 0.9431845545768738, 'learning_rate': 9.586364034703356e-05, 'mean_token_accuracy': 0.5527615536270123, 'epoch': 0.56}
{'loss': 1.8903, 'grad_norm': 0.5881603956222534, 'learning_rate': 9.581982297782841e-05, 'mean_token_accuracy': 0.5705280797206232, 'epoch': 0.56}
{'loss': 2.0879, 'grad_norm': 0.6742610931396484, 'learning_rate': 9.577600560862327e-05, 'mean_token_accuracy': 0.5343521293442463, 'epoch': 0.57}
{'loss': 2.1013, 'grad_norm': 0.6263258457183838, 'learning_rate': 9.573218823941811e-05, 'mean_token_accuracy': 0.54184482633059, 'epoch': 0.57}
